379|11|99||[7,11],[13,17]|[7,11],[13,17]|*
400|11|99|2|[6,16]|[6,16]|*
244|11|99|-4|[12,22]|[12,22]|*
104|11|102||[10,17]|[10,17]|*
49|11|34|2|[6,16]|[6,16]|*
90|11|93|-3|[11,21]|[11,21]|*
123|11|93||[12,23]|[12,23]|*
121|11|93|-7|[15,24]|[15,24]|*
115|11|93|-4|[12,22]|[12,22]|*
239|11|93|-3|[11,21]|[11,21]|*
352|11|96|-3|[11,21]|[11,21]|*
364|11|96|-3|[11,21]|[11,21]|*
405|11|101|-3|[11,21]|[11,21]|*
122|11|101||[12,22]|[12,22]|*
414|11|101||[22,23]|[22,23]|*
418|11|101|-7|[15,24]|[15,24]|*
218|11|101|-7|[15,24]|[15,24]|*
220|11|101||[20,23]|[18,24]|*
350|11|101||[16,20]|[12,17],[20,24]|*
66|11|101|-3|[7,9],[20,24]|[8,9],[20,24]|[1,7]
163|12|86|1|[7,17]|[7,17]|*
117|12|86|2|[6,16]|[6,16]|*
134|12|86|2|[6,16]|[6,16]|*
105|12|86||[14,17]|*|*
140|12|86|2|[6,16]|[6,16]|*
189|12|86|1|[7,17]|[7,17]|*
52|12|86|2|[6,16]|[6,16]|*
178|12|86|2|[6,16]|[6,16]|*
58|12|86|1|[7,17]|[7,17]|*
139|12|86|2|[6,16]|[6,16]|*
76|12|83|2|[11,12],[14,16]| 
83|12|83||[8,11],[13,16]|[8,11],[13,16]
464|12|83|-3|[11,21]|[11,21]|*
327|12|80||*|*|*
331|12|80||[15,24]|[1,2],[15,24]|*
440|12|80||[14,24]|[1,7]|*
398|12|80||[8,18]|[9,13],[14,19]|*
455|12|80||*|*|*
439|12|80||*|*|*
27|12|82|9|[0,9]|[0,9]|*
504|6|82|9|[0,9]|[0,9]|*
277|12|88|2|[6,16]|[6,16]|*
341|12|88||[16,21]|[9,11],[15,20]|*
344|12|88|2|[6,16]|[6,16]|*
322|12|88||[6,16]|[6,16]|*
202|12|147||[8,11],[14,18]|[8,11],[14,18]|*
219|12|84|2|[6,16]|[6,16]|*
17|12|84|1|[7,17]|[7,17]|*
91|12|84|-3|[11,21]|[11,21]|*
242|12|84|2|[6,16]|[6,16]|*
272|12|76|-4|[12,22]|[12,22]|*
270|12|76|2|[6,16]|[6,16]|*
273|12|76|2|[6,16]|[6,16]|*
228|12|84||[9,17]|*|*
229|13|36|1|[7,17]|*|*
113|13|73||[20,24]|[17,23]|*
25|13|73|3|[5,15]|[5,15]|*
78|13|73|2|[6,16]|[6,16]|*
77|13|73|1|[7,17]|[7,17]|*
180|13|73||*|*|*
182|13|73||*|*|*
253|13|36||[7,9],[17,21],[22,24]|[1,2],[3,9],[17,21],[22,24]|[1,2],[3,7]
324|13|36|2|[6,16]|[6,16]|*
258|13|36|2|[6,16]|[6,16]|*
230|13|36||[7,21]|[7,21]|*
233|13|36||[9,17]|[9,17]|*
223|13|36|-4|[12,22]|[12,22]|*
212|13|36|-4|[12,22]|[12,22]|*
426|16|155|15|9|[0,9]|[0,9]|*
424|16|155|15|2|[6,16]|[6,16]|*
372|16|155|15|2|[6,16]|[6,16]|*
434|16|155|15|2|[6,16]|[6,16]|*
465|16|155|15|[6,16]|[6,16]|*
423|16|155|15|1|[7,17]|[7,17]|*
428|16|155|15|1|[7,17]|[7,17]|*
369|16|155|15|1|[7,17]|[7,17]|*
386|16|155|15|1|[7,17]|[7,17]|*
422|16|155|15|1|[7,17]|[7,17]|*
466|16|155|15|1|[7,17]|[7,17]|*
509|16|155|15|1|[7,17]|[7,17]|*
384|16|155|15||[8,23]|[8,23]|*
430|16|155|15|-3|[11,21]|[11,21]|*
371|16|155|15||[13,24]|[13,24]|*
385|16|125|2|[6,16]|[6,16]|*
427|16|125|2|[6,16]|[6,16]|*
393|16|125||[13,18]|[13,18]|*
388|16|125||[15,24]|[1,6],[15,24]|[1,5]
469|16|125|-7|[15,25]|[15,25]|*
368|16|125|-7|[15,24]|[15,24]|*
391|16|156|2|[6,16]|[6,16]|*
