GEN,TIME,EVAL,BEST,AVG,STDDEV,WORST
176,0.22,11328,0.00e+00,0.00e+00,0.00e+00,0.00e+00
177,0.22,11392,0.00e+00,0.00e+00,0.00e+00,0.00e+00
178,0.22,11456,0.00e+00,0.00e+00,0.00e+00,0.00e+00
179,0.22,11520,0.00e+00,0.00e+00,0.00e+00,0.00e+00
180,0.22,11584,0.00e+00,0.00e+00,0.00e+00,0.00e+00
181,0.22,11648,0.00e+00,0.00e+00,0.00e+00,0.00e+00
182,0.22,11712,0.00e+00,0.00e+00,0.00e+00,0.00e+00
183,0.22,11776,0.00e+00,0.00e+00,0.00e+00,0.00e+00
184,0.22,11840,0.00e+00,0.00e+00,0.00e+00,0.00e+00
185,0.22,11904,0.00e+00,0.00e+00,0.00e+00,0.00e+00
186,0.23,11968,0.00e+00,0.00e+00,0.00e+00,0.00e+00
187,0.23,12032,0.00e+00,0.00e+00,0.00e+00,0.00e+00
188,0.23,12096,0.00e+00,0.00e+00,0.00e+00,0.00e+00
189,0.23,12160,0.00e+00,0.00e+00,0.00e+00,0.00e+00
190,0.23,12224,0.00e+00,0.00e+00,0.00e+00,0.00e+00
191,0.24,12288,0.00e+00,0.00e+00,0.00e+00,0.00e+00
192,0.24,12352,0.00e+00,0.00e+00,0.00e+00,0.00e+00
193,0.24,12416,0.00e+00,0.00e+00,0.00e+00,0.00e+00
194,0.24,12480,0.00e+00,0.00e+00,0.00e+00,0.00e+00
195,0.24,12544,0.00e+00,0.00e+00,0.00e+00,0.00e+00
196,0.24,12608,0.00e+00,0.00e+00,0.00e+00,0.00e+00
197,0.24,12672,0.00e+00,0.00e+00,0.00e+00,0.00e+00
198,0.24,12736,0.00e+00,0.00e+00,0.00e+00,0.00e+00
199,0.24,12800,0.00e+00,0.00e+00,0.00e+00,0.00e+00
200,0.24,12864,0.00e+00,0.00e+00,0.00e+00,0.00e+00
201,0.24,12928,0.00e+00,0.00e+00,0.00e+00,0.00e+00
202,0.24,12992,0.00e+00,0.00e+00,0.00e+00,0.00e+00
203,0.24,13056,0.00e+00,0.00e+00,0.00e+00,0.00e+00
204,0.24,13120,0.00e+00,0.00e+00,0.00e+00,0.00e+00
205,0.24,13184,0.00e+00,0.00e+00,0.00e+00,0.00e+00
206,0.24,13248,0.00e+00,0.00e+00,0.00e+00,0.00e+00
207,0.24,13312,0.00e+00,0.00e+00,0.00e+00,0.00e+00
208,0.24,13376,0.00e+00,0.00e+00,0.00e+00,0.00e+00
209,0.24,13440,0.00e+00,0.00e+00,0.00e+00,0.00e+00
210,0.25,13504,0.00e+00,0.00e+00,0.00e+00,0.00e+00
211,0.25,13568,0.00e+00,0.00e+00,0.00e+00,0.00e+00
212,0.25,13632,0.00e+00,0.00e+00,0.00e+00,0.00e+00
213,0.25,13696,0.00e+00,0.00e+00,0.00e+00,0.00e+00
214,0.25,13760,0.00e+00,0.00e+00,0.00e+00,0.00e+00
215,0.25,13824,0.00e+00,0.00e+00,0.00e+00,0.00e+00
216,0.25,13888,0.00e+00,0.00e+00,0.00e+00,0.00e+00
217,0.25,13952,0.00e+00,0.00e+00,0.00e+00,0.00e+00
218,0.25,14016,0.00e+00,0.00e+00,0.00e+00,0.00e+00
219,0.25,14080,0.00e+00,0.00e+00,0.00e+00,0.00e+00
220,0.25,14144,0.00e+00,0.00e+00,0.00e+00,0.00e+00
221,0.25,14208,0.00e+00,0.00e+00,0.00e+00,0.00e+00
222,0.25,14272,0.00e+00,0.00e+00,0.00e+00,0.00e+00
223,0.25,14336,0.00e+00,0.00e+00,0.00e+00,0.00e+00
224,0.25,14400,0.00e+00,0.00e+00,0.00e+00,0.00e+00
225,0.25,14464,0.00e+00,0.00e+00,0.00e+00,0.00e+00
226,0.25,14528,0.00e+00,0.00e+00,0.00e+00,0.00e+00
227,0.25,14592,0.00e+00,0.00e+00,0.00e+00,0.00e+00
228,0.25,14656,0.00e+00,0.00e+00,0.00e+00,0.00e+00
229,0.25,14720,0.00e+00,0.00e+00,0.00e+00,0.00e+00
230,0.25,14784,0.00e+00,0.00e+00,0.00e+00,0.00e+00
231,0.25,14848,0.00e+00,0.00e+00,0.00e+00,0.00e+00
232,0.25,14912,0.00e+00,0.00e+00,0.00e+00,0.00e+00
233,0.25,14976,0.00e+00,0.00e+00,0.00e+00,0.00e+00
234,0.25,15040,0.00e+00,0.00e+00,0.00e+00,0.00e+00
235,0.25,15104,0.00e+00,0.00e+00,0.00e+00,0.00e+00
236,0.26,15168,0.00e+00,0.00e+00,0.00e+00,0.00e+00
237,0.26,15232,0.00e+00,0.00e+00,0.00e+00,0.00e+00
238,0.26,15296,0.00e+00,0.00e+00,0.00e+00,0.00e+00
239,0.26,15360,0.00e+00,0.00e+00,0.00e+00,0.00e+00
240,0.26,15424,0.00e+00,0.00e+00,0.00e+00,0.00e+00
241,0.26,15488,0.00e+00,0.00e+00,0.00e+00,0.00e+00
242,0.26,15552,0.00e+00,0.00e+00,0.00e+00,0.00e+00
243,0.26,15616,0.00e+00,0.00e+00,0.00e+00,0.00e+00
244,0.26,15680,0.00e+00,0.00e+00,0.00e+00,0.00e+00
245,0.26,15744,0.00e+00,0.00e+00,0.00e+00,0.00e+00
246,0.27,15808,0.00e+00,0.00e+00,0.00e+00,0.00e+00
247,0.27,15872,0.00e+00,0.00e+00,0.00e+00,0.00e+00
248,0.27,15936,0.00e+00,0.00e+00,0.00e+00,0.00e+00
